dataset,split,user,history_length,positive_signal_total,items_for_50pct,items_for_80pct,items_for_90pct
amazon-toys-and-games,valid,55742,3,1.8094008927939549,2,2,2
amazon-toys-and-games,valid,55756,5,1.6608454328566973,5,5,5
amazon-toys-and-games,valid,56072,4,2.5950514779836285,2,4,4
amazon-toys-and-games,valid,56540,3,2.5823593664215085,1,1,1
amazon-toys-and-games,valid,57263,4,1.9567051282432368,2,2,2
amazon-toys-and-games,valid,57887,7,3.94059858544088,3,6,6
amazon-toys-and-games,valid,58194,13,16.24611125260258,6,7,13
amazon-toys-and-games,valid,58847,18,36.56938480598336,10,14,16
amazon-toys-and-games,valid,59353,3,1.3661620807514125,1,1,1
amazon-toys-and-games,valid,59984,4,1.9266382999284517,1,2,2
amazon-toys-and-games,valid,60605,9,22.23074403522807,4,5,7
amazon-toys-and-games,valid,60829,16,6.25503843322206,7,12,14
amazon-toys-and-games,valid,61120,3,2.272362807541828,2,2,3
amazon-toys-and-games,valid,61589,10,3.1227869014302123,5,6,6
amazon-toys-and-games,valid,61675,9,8.019742708426683,1,1,1
amazon-toys-and-games,valid,61901,4,0.16814220801278235,2,2,2
amazon-toys-and-games,valid,61982,8,3.717165080995978,4,4,7
amazon-toys-and-games,valid,62021,7,78.81095866222195,4,6,7
amazon-toys-and-games,valid,62093,8,4.191296691420682,4,6,8
amazon-toys-and-games,valid,62204,4,3.5986478629668857,1,2,2
amazon-toys-and-games,valid,62573,14,8.147095149917678,7,12,13
amazon-toys-and-games,valid,62706,13,17.519040918468594,1,1,3
amazon-toys-and-games,valid,63458,3,1.2982822668590388,2,3,3
amazon-toys-and-games,valid,64472,3,22.640267583944585,2,3,3
amazon-toys-and-games,valid,64622,7,1.7684355601996518,4,7,7
amazon-toys-and-games,valid,66608,3,0.12464331026541023,2,2,3
amazon-toys-and-games,valid,66631,5,1.4329779996611371,5,5,5
amazon-toys-and-games,valid,66750,5,3.6014683040943516,3,5,5
amazon-toys-and-games,valid,67206,8,1.098201200363452,5,5,5
amazon-toys-and-games,valid,67571,4,0.42942854192060553,1,1,1
amazon-toys-and-games,valid,67696,5,5.992613196636341,1,4,4
amazon-toys-and-games,valid,68005,66,33.14573710587045,27,49,56
amazon-toys-and-games,valid,68250,17,6.432803635229609,8,14,15
amazon-toys-and-games,valid,68889,4,2.8819185981833337,2,4,4
amazon-toys-and-games,valid,69028,3,1.4710901306000344,1,1,1
amazon-toys-and-games,valid,69133,5,0.21665612279404803,5,5,5
amazon-toys-and-games,valid,70071,3,1.2599360056606144,1,1,1
amazon-toys-and-games,valid,70262,3,5.2807069393059365,2,2,2
amazon-toys-and-games,valid,70360,4,3.1995515222862343,2,3,3
amazon-toys-and-games,valid,70852,7,1.2107213444515903,4,6,6
amazon-toys-and-games,valid,70860,3,1.8804500031653753,3,3,3
amazon-toys-and-games,valid,70981,2,0.8908633607077691,2,2,2
amazon-toys-and-games,valid,71018,6,9.034966045104163,3,5,5
amazon-toys-and-games,valid,71211,5,6.6874825880639985,3,5,5
amazon-toys-and-games,valid,71253,4,0.5031175942945074,4,4,4
amazon-toys-and-games,valid,71810,6,3.8188886705556406,6,6,6
amazon-toys-and-games,valid,71954,7,5.772527716956122,3,5,5
amazon-toys-and-games,valid,72080,9,4.822924476674283,5,6,9
amazon-toys-and-games,valid,72661,5,0.9360267209538551,1,5,5
amazon-toys-and-games,valid,72769,3,8.954972298696832,2,3,3
amazon-toys-and-games,valid,73048,16,4.6707776280505,8,10,16
amazon-toys-and-games,valid,73164,3,3.168668590009013,1,2,3
amazon-toys-and-games,valid,73370,6,3.22613548906883,2,6,6
amazon-toys-and-games,valid,73734,14,6.592327294623586,9,12,14
amazon-toys-and-games,valid,73929,13,9.19807679257482,6,8,9
amazon-toys-and-games,valid,74591,5,4.9402471370745396,4,5,5
amazon-toys-and-games,valid,74861,5,6.9757247650175245,2,3,3
amazon-toys-and-games,valid,74918,2,1.6178720949301437,2,2,2
amazon-toys-and-games,valid,75615,3,1.159308692145967,2,2,2
amazon-toys-and-games,valid,75843,5,27.372518761568557,1,4,4
amazon-toys-and-games,valid,75941,3,10.599575466563993,1,1,1
amazon-toys-and-games,valid,76318,9,3.9244668714220747,5,8,8
amazon-toys-and-games,valid,76339,6,2.326066293521302,3,5,6
amazon-toys-and-games,valid,76668,4,0.5848329760137913,3,3,3
amazon-toys-and-games,valid,76917,5,5.1829826639254915,3,3,3
amazon-toys-and-games,valid,76987,8,8.656648986311476,2,5,8
amazon-toys-and-games,valid,77710,5,1.7315272205519063,5,5,5
amazon-toys-and-games,valid,77743,9,6.423515835825738,3,8,9
amazon-toys-and-games,valid,78585,3,0.5815325109344587,2,3,3
amazon-toys-and-games,valid,78710,10,3.9720584318800167,5,7,9
amazon-toys-and-games,valid,78933,4,1.9904907191890873,3,4,4
amazon-toys-and-games,valid,78998,39,38.79673540706632,22,28,33
amazon-toys-and-games,valid,79124,4,0.6848169688909695,2,2,2
amazon-toys-and-games,valid,79657,4,3.3408369277682857,1,2,3
amazon-toys-and-games,valid,80111,7,2.01945380863589,3,5,7
amazon-toys-and-games,valid,80202,4,0.7913973383399178,3,3,3
amazon-toys-and-games,valid,80243,2,0.7258218923935557,1,2,2
amazon-toys-and-games,valid,80689,34,29.895828098553025,7,23,29
amazon-toys-and-games,valid,80985,4,0.6061890455751437,2,2,2
amazon-toys-and-games,valid,81171,2,1.7649621853068274,2,2,2
amazon-toys-and-games,valid,82613,19,3.0517749786851023,13,17,17
amazon-toys-and-games,valid,82765,4,0.4017235073421213,4,4,4
amazon-toys-and-games,valid,83624,6,30.41562016912654,2,2,2
amazon-toys-and-games,valid,83942,5,4.196885586891892,2,3,3
amazon-toys-and-games,valid,83947,4,1.3415372947304691,4,4,4
amazon-toys-and-games,valid,84278,4,1.9553843350665843,2,2,2
amazon-toys-and-games,valid,84384,8,1.0046903842348245,7,8,8
amazon-toys-and-games,valid,84739,3,8.076672790186969,1,3,3
amazon-toys-and-games,valid,84804,3,1.7494667085680986,3,3,3
amazon-toys-and-games,valid,85579,9,2.687579604762571,3,8,9
amazon-toys-and-games,valid,85585,4,0.5302387578422094,1,1,1
amazon-toys-and-games,valid,86071,4,1.11136764389382,1,4,4
amazon-toys-and-games,valid,86587,20,39.120128365614576,10,14,15
amazon-toys-and-games,valid,87057,27,15.791916004536132,12,21,26
amazon-toys-and-games,valid,87192,5,0.6134028126367854,2,2,3
amazon-toys-and-games,valid,87248,3,0.5175195777357681,2,3,3
amazon-toys-and-games,valid,87602,27,24.962908188746937,14,16,21
amazon-toys-and-games,valid,87716,5,1.4317945730224897,4,4,4
amazon-toys-and-games,valid,88020,5,0.6271316241487086,1,5,5
amazon-toys-and-games,valid,88261,2,0.31756613816177137,1,1,2
amazon-toys-and-games,valid,88544,13,23.37546897992254,3,4,5
amazon-toys-and-games,valid,88636,10,2.5744156340828646,3,9,10
amazon-toys-and-games,valid,88913,3,0.6045513986437016,1,2,2
amazon-toys-and-games,valid,89466,9,10.769227694586627,3,5,9
amazon-toys-and-games,valid,89804,2,6.632477914629226,2,2,2
amazon-toys-and-games,valid,89935,8,1.5852319840654816,6,7,7
amazon-toys-and-games,valid,89947,6,7.558733776502746,5,6,6
amazon-toys-and-games,valid,90041,3,2.1871022054475953,2,2,2
amazon-toys-and-games,valid,90230,3,0.33626341893043704,2,2,2
amazon-toys-and-games,valid,90425,5,3.977531084396875,2,4,4
amazon-toys-and-games,valid,91815,2,1.548043598823682,1,2,2
amazon-toys-and-games,valid,92712,1,1.552927700234339,1,1,1
amazon-toys-and-games,valid,93420,5,1.819529334934088,3,5,5
amazon-toys-and-games,valid,93563,3,2.2960217271868935,2,3,3
amazon-toys-and-games,valid,93729,4,3.459921826296977,3,3,4
amazon-toys-and-games,valid,94053,5,1.810654141098329,4,4,5
amazon-toys-and-games,valid,94100,3,3.5436407862501405,3,3,3
amazon-toys-and-games,valid,94151,3,3.991394100233681,2,2,2
amazon-toys-and-games,valid,94231,4,20.020305455873814,2,3,3
amazon-toys-and-games,valid,95063,7,29.062581019852942,2,6,7
amazon-toys-and-games,valid,95325,3,1.471372200010486,3,3,3
amazon-toys-and-games,valid,95334,6,27.57937227666253,3,5,6
amazon-toys-and-games,valid,95419,8,5.665343111823889,4,4,4
amazon-toys-and-games,valid,95956,4,18.655759519004615,2,2,2
amazon-toys-and-games,valid,95958,5,3.1911754521695967,1,4,5
amazon-toys-and-games,valid,96145,49,14.430657251451155,13,38,44
amazon-toys-and-games,valid,96934,5,1.2837758038962386,1,3,3
amazon-toys-and-games,valid,97625,7,4.484070952220161,2,4,7
amazon-toys-and-games,valid,97833,10,23.858292375821947,4,7,8
amazon-toys-and-games,valid,97908,5,3.348802922087306,3,3,5
amazon-toys-and-games,valid,97930,1,0.4836906012258888,1,1,1
amazon-toys-and-games,valid,98001,3,4.553971040831698,3,3,3
amazon-toys-and-games,valid,98184,3,1.2811008245723694,2,2,2
amazon-toys-and-games,valid,99275,3,0.9093644577743675,2,2,2
amazon-toys-and-games,valid,99294,3,12.14646536355237,1,1,1
amazon-toys-and-games,valid,100100,5,10.609316600840984,4,4,5
amazon-toys-and-games,valid,100632,5,2.019182870215627,3,3,3
amazon-toys-and-games,valid,100736,3,0.7998623298895358,3,3,3
amazon-toys-and-games,valid,101036,6,1.6064826886856203,2,2,2
amazon-toys-and-games,valid,101408,6,3.4826128557497666,5,5,5
amazon-toys-and-games,valid,101460,4,21.006032933437755,2,3,3
amazon-toys-and-games,valid,101789,8,4.51977145294396,3,4,7
amazon-toys-and-games,valid,102060,9,6.857161505165381,3,7,8
amazon-toys-and-games,valid,102450,9,0.6774927773471195,3,4,4
amazon-toys-and-games,valid,102571,5,5.0495306927884025,3,4,5
amazon-toys-and-games,valid,102776,3,1.8022264636635466,2,3,3
amazon-toys-and-games,valid,102792,3,2.3995078078520407,2,2,3
amazon-toys-and-games,valid,102936,3,3.638092044561148,3,3,3
amazon-toys-and-games,valid,103104,10,5.366310831256655,6,9,9
amazon-toys-and-games,valid,103356,4,2.070678372505038,3,4,4
amazon-toys-and-games,valid,103899,4,12.117363769170838,3,4,4
amazon-toys-and-games,valid,104586,1,1.4456578418363453,1,1,1
amazon-toys-and-games,valid,104973,3,2.7951408927218564,3,3,3
amazon-toys-and-games,valid,104986,3,4.693347734473518,3,3,3
amazon-toys-and-games,valid,105004,3,3.4410965391411463,3,3,3
amazon-toys-and-games,valid,105156,16,6.623809656020148,8,15,15
amazon-toys-and-games,valid,105228,3,1.0884039051814192,1,3,3
amazon-toys-and-games,valid,106204,3,10.371497809440104,2,3,3
amazon-toys-and-games,valid,106226,3,0.8833391908061057,2,2,2
amazon-toys-and-games,valid,106359,11,11.770044367747424,4,8,10
amazon-toys-and-games,valid,106699,9,3.572019751689112,6,7,7
amazon-toys-and-games,valid,106721,12,23.947929607365072,4,9,11
