source_table,dataset,split,cohort,lag_bin,lag_start,lag_end,metric,mean,ci_low,ci_high,n_users,n_positions,units,status,lag,mean_margin_influence,help_percent,hurt_percent,neutral_percent,recent_items,mean_percent,median_percent,q25_percent,q75_percent
alignment_summary.csv,amazon-all-beauty,test,all_available,17-32,17,32,excess_cluster_match,0.01653311060919756,-0.01000492167102222,0.04735056689234677,92,860,probability_difference,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,33-64,33,64,raw_cosine,0.09253764745703888,0.07654894465459235,0.10981723704645298,28,376,cosine,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,33-64,33,64,random_cosine,0.08913000071514857,0.08198625347848064,0.09677666478333083,28,376,cosine,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,33-64,33,64,excess_cosine,0.003407646741890311,-0.00924693279947454,0.017117061893811812,28,376,cosine,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,33-64,33,64,raw_cosine_z,0.10148598045570822,-0.16289464569505094,0.3872120191296151,28,376,within_subset_z,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,33-64,33,64,random_cosine_z,0.04513895903357629,-0.07298621915186254,0.1715801005876739,28,376,within_subset_z,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,33-64,33,64,excess_cosine_z,0.05634702142213193,-0.15290232820670052,0.2830385677476479,28,376,within_subset_z,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,33-64,33,64,raw_cluster_match,0.10458965637537065,0.05309266935941043,0.16417461816457352,28,376,probability_difference,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,33-64,33,64,random_cluster_match,0.07060108418367347,0.05172720025510204,0.09022541985544215,28,376,probability_difference,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,33-64,33,64,excess_cluster_match,0.03398857219169719,-0.014805220325309613,0.09153851638812566,28,376,probability_difference,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,65-100,65,100,raw_cosine,0.08105900122777401,0.059484011705757844,0.10574389255495482,5,78,cosine,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,65-100,65,100,random_cosine,0.08543069557374065,0.07032705355613005,0.09839456297010869,5,78,cosine,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,65-100,65,100,excess_cosine,-0.004371694345966638,-0.024450575161932248,0.017473424545356206,5,78,cosine,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,65-100,65,100,raw_cosine_z,-0.08831876574244694,-0.4450712371282995,0.31985737626107386,5,78,within_subset_z,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,65-100,65,100,random_cosine_z,-0.016030769473635232,-0.2657765045161179,0.19833279847402524,5,78,within_subset_z,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,65-100,65,100,excess_cosine_z,-0.07228799626881169,-0.4043016153923828,0.2889311896892874,5,78,within_subset_z,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,65-100,65,100,raw_cluster_match,0.03602150537634409,0.0,0.07473118279569893,5,78,probability_difference,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,65-100,65,100,random_cluster_match,0.07411802355350743,0.03526881720430108,0.10299795186891961,5,78,probability_difference,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,all_available,65-100,65,100,excess_cluster_match,-0.03809651817716334,-0.06904761904761904,-0.00877240143369176,5,78,probability_difference,exploratory_n_lt_100,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,1,1,1,raw_cosine,0.15462213624010068,0.13344947478714553,0.17709851258065704,288,288,cosine,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,1,1,1,random_cosine,0.09096763791361202,0.08841247593841722,0.09358016588893306,288,288,cosine,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,1,1,1,excess_cosine,0.06365449832648867,0.042744680453486374,0.08598234039398246,288,288,cosine,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,1,1,1,raw_cosine_z,1.1280818351365565,0.7779820452177774,1.499739156179958,288,288,within_subset_z,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,1,1,1,random_cosine_z,0.07552514352712732,0.03327435362469414,0.11872450688298744,288,288,within_subset_z,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,1,1,1,excess_cosine_z,1.0525566916094293,0.7068031423523387,1.4217579294669502,288,288,within_subset_z,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,1,1,1,raw_cluster_match,0.1840277777777778,0.1423611111111111,0.22916666666666666,288,288,probability_difference,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,1,1,1,random_cluster_match,0.06475694444444444,0.05711805555555557,0.07205295138888886,288,288,probability_difference,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,1,1,1,excess_cluster_match,0.11927083333333331,0.07864149305555555,0.16388888888888886,288,288,probability_difference,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,2,2,2,raw_cosine,0.12256784668877824,0.10766130634308663,0.1405714418631558,288,288,cosine,estimated,,,,,,,,,,
alignment_summary.csv,amazon-all-beauty,test,fixed_K8,2,2,2,random_cosine,0.09350202488712966,0.09096211951691657,0.09621539238594576,288,288,cosine,estimated,,,,,,,,,,
