dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-sports-and-outdoors,test,20907,11,1,0.09090909090909091,0.3,0.5,0.09846359491348267,0.08882799744606018,-0.009635597467422485,0.09090909090909091,-0.05
amazon-sports-and-outdoors,test,44584,14,4,0.2857142857142857,0.5,0.475,0.032269060611724854,0.04059979319572449,0.008330732583999634,0.14285714285714285,-0.2
amazon-sports-and-outdoors,test,84349,13,3,0.23076923076923078,0.15,0.475,0.10473400354385376,0.06020185351371765,-0.04453215003013611,0.07692307692307693,0.0
amazon-sports-and-outdoors,test,183451,15,5,0.3333333333333333,0.35,0.35,0.015604227781295776,0.021150022745132446,0.00554579496383667,0.13333333333333333,-0.15000000000000002
amazon-sports-and-outdoors,test,196193,34,24,0.7058823529411765,0.55,0.925,0.08904308080673218,0.04765269160270691,-0.04139038920402527,0.38235294117647056,0.4538461538461539
amazon-sports-and-outdoors,test,235158,23,13,0.5652173913043478,0.0,0.75,-0.06610321998596191,-0.08775529265403748,-0.02165207266807556,0.34782608695652173,0.11249999999999999
amazon-sports-and-outdoors,test,240076,11,1,0.09090909090909091,0.55,0.5,0.14008107781410217,0.1297679841518402,-0.010313093662261963,0.09090909090909091,-0.1
amazon-sports-and-outdoors,test,260451,12,2,0.16666666666666666,0.55,0.425,0.10683202743530273,0.09262603521347046,-0.014205992221832275,0.0,nan
amazon-sports-and-outdoors,test,288285,17,7,0.4117647058823529,1.0,0.35,0.08580458164215088,0.08754804730415344,0.0017434656620025635,0.058823529411764705,0.0
amazon-sports-and-outdoors,test,325737,11,1,0.09090909090909091,0.35,0.5,0.15955249965190887,0.14390864968299866,-0.015643849968910217,0.09090909090909091,0.0
amazon-sports-and-outdoors,test,327377,21,11,0.5238095238095238,0.5,0.175,0.03443628549575806,0.058132022619247437,0.02369573712348938,0.23809523809523808,-0.04
amazon-sports-and-outdoors,test,338025,13,3,0.23076923076923078,0.25,0.425,-0.02791416645050049,-0.029741555452346802,-0.0018273890018463135,0.15384615384615385,-0.125
amazon-sports-and-outdoors,test,347754,11,1,0.09090909090909091,0.25,0.475,0.03536686301231384,0.029400765895843506,-0.005966097116470337,0.09090909090909091,-0.1
amazon-sports-and-outdoors,test,357431,17,7,0.4117647058823529,0.55,0.375,0.042617738246917725,0.028657227754592896,-0.013960510492324829,0.17647058823529413,-0.03333333333333333
amazon-sports-and-outdoors,test,372008,12,2,0.16666666666666666,1.0,0.925,0.2503761053085327,0.2481517493724823,-0.002224355936050415,0.08333333333333333,-0.05
amazon-sports-and-outdoors,test,385108,12,2,0.16666666666666666,0.35,0.45,0.15777036547660828,0.14650189876556396,-0.011268466711044312,0.08333333333333333,-0.1
amazon-sports-and-outdoors,test,432794,12,2,0.16666666666666666,0.75,0.425,-0.026795119047164917,-0.023643404245376587,0.00315171480178833,0.08333333333333333,-0.15
amazon-sports-and-outdoors,test,550335,14,4,0.2857142857142857,0.15,0.4,-0.00979304313659668,-0.023890435695648193,-0.014097392559051514,0.21428571428571427,-0.06666666666666667
amazon-sports-and-outdoors,test,582327,14,4,0.2857142857142857,1.0,0.5,0.2187696099281311,0.2310371994972229,0.012267589569091797,0.14285714285714285,0.0
amazon-sports-and-outdoors,test,604811,43,33,0.7674418604651163,0.95,0.625,0.1902264505624771,0.2040189504623413,0.013792499899864197,0.13953488372093023,-0.03333333333333333
amazon-sports-and-outdoors,test,606578,25,15,0.6,1.0,0.675,-0.003209829330444336,0.04818257689476013,0.05139240622520447,0.04,0.0
amazon-sports-and-outdoors,test,623693,12,2,0.16666666666666666,0.4,0.5,0.020177572965621948,0.011018872261047363,-0.009158700704574585,0.08333333333333333,0.0
amazon-sports-and-outdoors,test,626490,13,3,0.23076923076923078,0.4,0.3,0.062420815229415894,0.04512864351272583,-0.017292171716690063,0.07692307692307693,-0.05
