dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,preference_minus_item_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,186487,15,5,0.3333333333333333,0.55,0.425,-0.12500000000000006,0.6467573642730713,0.47620463371276855,-0.17055273056030273,0.2,-0.049999999999999996
amazon-toys-and-games,valid,189873,27,17,0.6296296296296297,1.0,0.85,-0.15000000000000002,2.2895188331604004,1.919623613357544,-0.36989521980285645,0.2962962962962963,-0.05
amazon-toys-and-games,valid,189956,17,7,0.4117647058823529,0.6,0.75,0.15000000000000002,0.5937479734420776,0.7056682109832764,0.11192023754119873,0.11764705882352941,-0.05
amazon-toys-and-games,valid,190284,19,9,0.47368421052631576,0.85,0.2,-0.6499999999999999,0.5179331302642822,0.6978521347045898,0.17991900444030762,0.2631578947368421,-0.030000000000000006
amazon-toys-and-games,valid,195716,15,5,0.3333333333333333,0.6,0.325,-0.27499999999999997,2.425956964492798,2.014657735824585,-0.4112992286682129,0.3333333333333333,0.0
amazon-toys-and-games,valid,200244,14,4,0.2857142857142857,0.9,0.35,-0.55,1.7485079765319824,1.7843317985534668,0.035823822021484375,0.07142857142857142,-0.05
amazon-toys-and-games,valid,201785,12,2,0.16666666666666666,0.85,0.5,-0.35,4.412332534790039,4.076508522033691,-0.33582401275634766,0.16666666666666666,-0.07500000000000001
amazon-toys-and-games,valid,203375,23,13,0.5652173913043478,0.85,0.275,-0.575,2.2367475032806396,2.306379556655884,0.06963205337524414,0.21739130434782608,-0.05
amazon-toys-and-games,valid,204096,12,2,0.16666666666666666,0.75,0.475,-0.275,-0.022855758666992188,0.22279977798461914,0.24565553665161133,0.0,nan
amazon-toys-and-games,valid,205766,11,1,0.09090909090909091,0.55,0.45,-0.10000000000000003,-0.22446012496948242,-0.1685934066772461,0.05586671829223633,0.0,nan
amazon-toys-and-games,valid,211131,13,3,0.23076923076923078,0.9,0.975,0.07499999999999996,0.6376826763153076,0.7223823070526123,0.08469963073730469,0.07692307692307693,0.0
amazon-toys-and-games,valid,225010,12,2,0.16666666666666666,0.75,0.45,-0.3,0.9174387454986572,1.0435221195220947,0.1260833740234375,0.0,nan
amazon-toys-and-games,valid,226551,12,2,0.16666666666666666,0.9,0.5,-0.4,1.86612868309021,2.1310160160064697,0.26488733291625977,0.0,nan
amazon-toys-and-games,valid,231870,17,7,0.4117647058823529,0.6,0.275,-0.32499999999999996,2.1311120986938477,1.6960453987121582,-0.43506669998168945,0.11764705882352941,-0.125
amazon-toys-and-games,valid,231901,18,8,0.4444444444444444,0.5,0.325,-0.175,0.6421225070953369,0.8913781642913818,0.24925565719604492,0.1111111111111111,-0.05
amazon-toys-and-games,valid,232142,22,12,0.5454545454545454,0.8,0.9,0.09999999999999998,1.6829171180725098,1.4791364669799805,-0.2037806510925293,0.4090909090909091,0.033333333333333326
amazon-toys-and-games,valid,233345,14,4,0.2857142857142857,0.95,0.425,-0.5249999999999999,1.7548258304595947,1.8915307521820068,0.1367049217224121,0.21428571428571427,-0.06666666666666667
amazon-toys-and-games,valid,239270,13,3,0.23076923076923078,0.65,0.425,-0.22500000000000003,0.9681618213653564,1.1999235153198242,0.23176169395446777,0.0,nan
amazon-toys-and-games,valid,239801,33,23,0.696969696969697,0.8,0.425,-0.37500000000000006,0.8047189116477966,0.9754528403282166,0.17073392868041992,0.18181818181818182,-0.05833333333333333
amazon-toys-and-games,valid,240463,32,22,0.6875,0.2,0.95,0.75,-0.939903736114502,-1.1599690914154053,-0.22006535530090332,0.4375,0.16428571428571428
