dataset,split,recent_items,mean_percent,median_percent,q25_percent,q75_percent,n_users
amazon-all-beauty,test,34,99.57081514262286,100.0,100.0,100.0,1355
amazon-all-beauty,test,35,99.6036376710492,100.0,100.0,100.0,1355
amazon-all-beauty,test,36,99.64375223814399,100.0,100.0,100.0,1355
amazon-all-beauty,test,37,99.67001842875425,100.0,100.0,100.0,1355
amazon-all-beauty,test,38,99.6810926812392,100.0,100.0,100.0,1355
amazon-all-beauty,test,39,99.71185060987507,100.0,100.0,100.0,1355
amazon-all-beauty,test,40,99.73114881627974,100.0,100.0,100.0,1355
amazon-all-beauty,test,41,99.7379623839822,100.0,100.0,100.0,1355
amazon-all-beauty,test,42,99.75296337224184,100.0,100.0,100.0,1355
amazon-all-beauty,test,43,99.76853966750195,100.0,100.0,100.0,1355
amazon-all-beauty,test,44,99.77671872787145,100.0,100.0,100.0,1355
amazon-all-beauty,test,45,99.79933225884524,100.0,100.0,100.0,1355
amazon-all-beauty,test,46,99.8118303089306,100.0,100.0,100.0,1355
amazon-all-beauty,test,47,99.81685728270318,100.0,100.0,100.0,1355
amazon-all-beauty,test,48,99.83089408648438,100.0,100.0,100.0,1355
amazon-all-beauty,test,49,99.83523895339457,100.0,100.0,100.0,1355
amazon-all-beauty,test,50,99.84419000122878,100.0,100.0,100.0,1355
amazon-all-beauty,test,51,99.85754424371575,100.0,100.0,100.0,1355
amazon-all-beauty,test,52,99.8637409199341,100.0,100.0,100.0,1355
amazon-all-beauty,test,53,99.87276036934179,100.0,100.0,100.0,1355
amazon-all-beauty,test,54,99.88203759985547,100.0,100.0,100.0,1355
amazon-all-beauty,test,55,99.88833087660477,100.0,100.0,100.0,1355
amazon-all-beauty,test,56,99.89772884509289,100.0,100.0,100.0,1355
amazon-all-beauty,test,57,99.90919871881366,100.0,100.0,100.0,1355
amazon-all-beauty,test,58,99.91895792858965,100.0,100.0,100.0,1355
amazon-all-beauty,test,59,99.92932647453712,100.0,100.0,100.0,1355
amazon-all-beauty,test,60,99.93113082754306,100.0,100.0,100.0,1355
amazon-all-beauty,test,61,99.93240381987994,100.0,100.0,100.0,1355
amazon-all-beauty,test,62,99.93358275372117,100.0,100.0,100.0,1355
amazon-all-beauty,test,63,99.93431466836846,100.0,100.0,100.0,1355
amazon-all-beauty,test,64,99.94025067366289,100.0,100.0,100.0,1355
amazon-all-beauty,test,65,99.94383873947336,100.0,100.0,100.0,1355
amazon-all-beauty,test,66,99.94548244484622,100.0,100.0,100.0,1355
amazon-all-beauty,test,67,99.94929896262197,100.0,100.0,100.0,1355
amazon-all-beauty,test,68,99.95354841800771,100.0,100.0,100.0,1355
amazon-all-beauty,test,69,99.95354841800771,100.0,100.0,100.0,1355
amazon-all-beauty,test,70,99.95678202022036,100.0,100.0,100.0,1355
amazon-all-beauty,test,71,99.95833069185981,100.0,100.0,100.0,1355
amazon-all-beauty,test,72,99.95833069185981,100.0,100.0,100.0,1355
amazon-all-beauty,test,73,99.95865267988034,100.0,100.0,100.0,1355
amazon-all-beauty,test,74,99.95938128706358,100.0,100.0,100.0,1355
amazon-all-beauty,test,75,99.96133534000359,100.0,100.0,100.0,1355
amazon-all-beauty,test,76,99.96216713520148,100.0,100.0,100.0,1355
amazon-all-beauty,test,77,99.96228903132595,100.0,100.0,100.0,1355
amazon-all-beauty,test,78,99.96473581962785,100.0,100.0,100.0,1355
amazon-all-beauty,test,79,99.9684090297434,100.0,100.0,100.0,1355
amazon-all-beauty,test,80,99.97372533925277,100.0,100.0,100.0,1355
amazon-all-beauty,test,81,99.97372533925277,100.0,100.0,100.0,1355
amazon-all-beauty,test,82,99.97372533925277,100.0,100.0,100.0,1355
amazon-all-beauty,test,83,99.97372533925277,100.0,100.0,100.0,1355
amazon-all-beauty,test,84,99.97372533925277,100.0,100.0,100.0,1355
amazon-all-beauty,test,85,99.97372533925277,100.0,100.0,100.0,1355
amazon-all-beauty,test,86,99.97372533925277,100.0,100.0,100.0,1355
amazon-all-beauty,test,87,99.97646973200835,100.0,100.0,100.0,1355
amazon-all-beauty,test,88,99.9777660422107,100.0,100.0,100.0,1355
amazon-all-beauty,test,89,99.9839107025696,100.0,100.0,100.0,1355
amazon-all-beauty,test,90,99.99095342467807,100.0,100.0,100.0,1355
amazon-all-beauty,test,91,99.99095342467807,100.0,100.0,100.0,1355
amazon-all-beauty,test,92,99.9958818977746,100.0,100.0,100.0,1355
amazon-all-beauty,test,93,99.99603361486813,100.0,100.0,100.0,1355
amazon-all-beauty,test,94,99.99603361486813,100.0,100.0,100.0,1355
amazon-all-beauty,test,95,99.99603361486813,100.0,100.0,100.0,1355
amazon-all-beauty,test,96,99.99603361486813,100.0,100.0,100.0,1355
amazon-all-beauty,test,97,99.99603361486813,100.0,100.0,100.0,1355
amazon-all-beauty,test,98,99.99738898582727,100.0,100.0,100.0,1355
amazon-all-beauty,test,99,99.99846757500801,100.0,100.0,100.0,1355
amazon-all-beauty,test,100,100.0,100.0,100.0,100.0,1355
