dataset,split,user,history_length,old_count,old_fraction,old_item_auc,old_preference_proxy_auc,recent_margin,full_margin,full_minus_recent_margin,low_alignment_old_fraction,low_alignment_old_cluster_excess
amazon-toys-and-games,valid,42430,17,7,0.4117647058823529,0.9,0.35,-0.036067426204681396,-0.042470574378967285,-0.006403148174285889,0.29411764705882354,-0.04
amazon-toys-and-games,valid,43230,25,15,0.6,1.0,1.0,0.18349769711494446,0.2379704713821411,0.054472774267196655,0.0,nan
amazon-toys-and-games,valid,43534,17,7,0.4117647058823529,0.9,0.775,0.05682656168937683,0.06124478578567505,0.004418224096298218,0.29411764705882354,-0.05
amazon-toys-and-games,valid,43855,29,19,0.6551724137931034,1.0,0.9,0.405412882566452,0.4362422823905945,0.030829399824142456,0.1724137931034483,0.21000000000000002
amazon-toys-and-games,valid,44453,15,5,0.3333333333333333,0.0,0.4,-0.04683251678943634,-0.0750112235546112,-0.028178706765174866,0.3333333333333333,-0.02
amazon-toys-and-games,valid,45910,11,1,0.09090909090909091,0.0,0.4,-0.13646253943443298,-0.13740620017051697,-0.0009436607360839844,0.09090909090909091,0.0
amazon-toys-and-games,valid,50076,14,4,0.2857142857142857,1.0,0.775,0.12313155829906464,0.12936921417713165,0.006237655878067017,0.0,nan
amazon-toys-and-games,valid,54472,26,16,0.6153846153846154,0.8,0.825,0.15254145860671997,0.15007802844047546,-0.002463430166244507,0.3076923076923077,-0.025
amazon-toys-and-games,valid,54523,13,3,0.23076923076923078,0.0,0.975,0.1074957549571991,0.05645743012428284,-0.05103832483291626,0.23076923076923078,0.8666666666666666
amazon-toys-and-games,valid,58194,13,3,0.23076923076923078,1.0,0.375,0.10697996616363525,0.10491198301315308,-0.0020679831504821777,0.07692307692307693,-0.2
amazon-toys-and-games,valid,58847,18,8,0.4444444444444444,1.0,0.925,0.19213691353797913,0.22759151458740234,0.03545460104942322,0.0,nan
amazon-toys-and-games,valid,60829,16,6,0.375,0.5,0.875,0.0854400247335434,0.06112700700759888,-0.02431301772594452,0.1875,-0.03333333333333333
